prompt,model_answer,is_hallucination,correct_answer,comment,hallucination_probability,prediction
"Какое математическое условие, согласно модели Рамсея — Касса — Купманса, должно выполняться для предельной полезности потребления при стремлении потребления к нулю?","Согласно модели Рамсея — Касса — Купманса, предельная полезность потребления должна стремиться к бесконечности при стремлении потребления к нулю. Это означает, что если человек потребляет очень мало, то он будет готов отдать практически все свои ресурсы за небольшое увеличение потребления.",False,Предельная полезность стремится к бесконечности,,0.4249932862295995,0
Кем по женской линии был Марк Антоний от Луция Юлия Цезаря (консул 90 года до н. э.)?,Марк Антоний был внуком Луция Юлия Цезаря через его дочь Юлию Антистию.,True,Внуком,"Мать Марка Антония звали Юлией (Антонией), она не носила имя Юлия Антистия",0.21119982194232148,0
Какие два события из серии The Legend of Zelda согласно обновлённой хронологии 2018 года от Nintendo протекают после событий игры Link’s Awakening?,"Согласно обновлённой хронологии 2018 года от Nintendo, двумя событиями, которые происходят после событий игры ""Link's Awakening"", являются следующие:

1. **Ocarina of Time** - Эта игра является прямым продолжением событий ""Link's Awakening"". В ней Линк возвращается в своё время и отправляется на поиски Нилу, чтобы спасти её от злого Ганона.

2. **Majora's Mask** - Это также прямое продолжение ""Ocarina of Time"". В этой игре Линк снова оказывается в мире Зельды, где он должен остановить луну, которая падает на землю и уничтожает всё вокруг.",True,Oracle of Seasons и Oracle of Ages,,0.8229052849650723,1
"Как называется теория детонации, разработанная Я. Б. Зельдовичем в 1940-е годы и названная по именам Зельдовича, Неймана и Дёринга?","Теория детонации, разработанная Я. Б. Зельдовичем в 1940-х годах и названная по именам Зельдовича, Неймана и Дёринга, известна как **теория ННД** или **теория Неймана-Дёринга-Зельдовича**.",True,Теория Зельдовича-Неймана-Дёринга,"Эта теория детонации называется теорией ЗНД (Зельдовича — Неймана — Дёринга), аббревиатура «ННД» в ответе — ошибочная галлюцинация.",0.21133447255346177,0
Какое влияние оказало христианство на культуру Исландии после языческой религии?,"## Влияние христианства на культуру Исландии

Христианизация Исландии в 10 веке стала поворотным моментом для развития исландской культуры и общества. После принятия новой веры традиционные языческие верования постепенно уступили место христианским ценностям, что отразилось во всех сферах жизни островного государства.

---

### **Религиозные изменения**

- **Принятие христианства** — исландцы приняли веру в единого Бога, отказавшись от многобожия и поклонения природным силам.
- **Церковь как центр общественной жизни** — церковь стала не только религиозным, но и образовательным центром, где велись летописи, переписывались книги и обучались грамоте.
- **Отмена языческих обрядов** — многие ритуалы и традиции были заменены церковными праздниками и обрядами.

---

### **Литература и письменность**

- **Создание исландских саг** — после христианизации исландские писатели начали записывать свои мифы и легенды, создавая уникальные литературные произведения.
- **Летописание** — появились первые исторические хроники, которые фиксировали события и жизнь народа.
- **Распространение грамотности** — благодаря церкви грамотность стала более доступной, что способствовало развитию",False,развивалась под влиянием христианства,,0.3604008283371906,0
Кто спас двухлетнего сына царя Эакида Пирра во время восстания молоссов и отвёз его ко двору иллирийского царя Главкия?,"Во время восстания молоссов в 369 году до н. э., когда царь Эакид был убит, его двухлетний сын Пирр был спасён неким Геликаоном, который увёз ребёнка к царю Иллирии Главкию.",True,Анроклид и Ангел,,0.7513044232004089,1
При каких состояниях применяется эналаприлат в виде раствора для внутривенного введения?,"Эналаприлат - это лекарственный препарат, который используется для лечения высокого кровяного давления и сердечной недостаточности. Он относится к классу ингибиторов ангиотензин-превращающего фермента (АПФ). Эналаприлат может быть назначен в форме раствора для внутривенного введения при следующих состояниях:

1. Гипертонический криз: Это состояние характеризуется резким повышением артериального давления до очень высоких значений. В таких случаях эналаприлат может быть использован для быстрого снижения давления.

2. Сердечная недостаточность: При этом состоянии сердце не может эффективно перекачивать кровь по организму. Эналаприлат помогает уменьшить нагрузку на сердце и улучшить его работу.

3. Острый инфаркт миокарда: После инфаркта миокарда иногда возникает сердечная недостаточность или высокое кровяное давление. В этих случаях эналаприлат может помочь стабилизировать состояние пациента.

4. Почечная недостаточность: У пациентов с почечной недостаточностью часто наблюдается повышенное артериальное давление. Эналаприлат может использоваться для контроля этого показателя.

5. Диабетическая нефропатия: Это осложнение диабета, которое приводит к повреждению почек. Эналаприлат может замедлить прогрессирование этого заболевания.

Важно отметить, что применение э",False,"При гипертонических кризах, злокачественной гипертензии, тяжёлой форме артериальной гипертензии.",,0.3652571027475958,0
Как обозначаются в классификации Хаббла спиральные галактики с перемычкой в центре?,В классификации Хаббла спиральные галактики с перемычкой в центре обозначаются как SB.,False,SB,,0.10707919333616414,0
Кем была предложена идея изобразить на крыше церкви прячущихся в ужасе попа и дьякона в первоначальном варианте картины «Большевик» Бориса Кустодиева?,Идея изобразить на крыше церкви прячущихся в ужасе попа и дьякона в первоначальном варианте картины «Большевик» принадлежит художнику Борису Михайловичу Кустодиеву.,False,Борисом Кустодиевым,,0.6241292997655082,1
Какой комплекс из более чем 80 валунов был выявлен в 2008 году на территории села Кривадино в Шатурском районе?,"В 2008 году на территории села Кривадино в Шатурском районе был выявлен комплекс из более чем 80 валунов, который получил название «Кривадинский мегалитический комплекс».",False,Мегалитический комплекс,,0.05865708161661149,0
"Кто в конце XI века первым назвал отца Мехмеда-бея, основателя бейлика Дилмачогуллары, именем Дилмач?","В конце XI века отцом Мехмеда-бея, основателя бейлика Дилмачогуллары, был не кто иной, как Дилмач-бей.",True,Усама ибн-Мункыз,,0.7145722153114858,1
На какой остров в сентябре 1831 года было решено выселить оставшихся в живых тасманийских аборигенов вместо острова Марайа?,"В сентябре 1831 года было принято решение переселить оставшихся в живых тасманийских аборигенов на остров Флиндерс, который находится в заливе Спенсер и является частью штата Южная Австралия.",True,остров Флиндерс,"Тасманийские аборигены были выселены на остров Флиндерс, который находится в Бассовом проливе (входит в штат Тасмания). Ответ неверно приписал его к заливу Спенсер (штат Южная Австралия), где находится совершенно другой остров с тем же названием.",0.07218940428174118,0
"В каком году был создан Серафимо-Дивеевский монастырь, после чего мосты и переходы через Святую Канавку были уничтожены?",Серафимово Дивеевское монастырь было основано в 1760 году.,True,1861,,0.8905241281708074,1
Кто из историков в труде «История эллинизма» выдвинул версию о гибели Зопириона в море на обратном пути от Ольвии?,Версию о гибели Зопириона в море на обратном пути от Ольвии выдвинул древнегреческий историк Арриан в своем труде «История эллинизма».,True,Иоганн Густав Дройзен,,0.8479286422278662,1
"В каком году было образовано Общество евгеники, членами которого были родители Чарльза Галтона Дарвина?",Общество евгеники было основано в 1907 году.,False,1907,,0.04945553109189307,0
"Сколько очков набрал Уилт Чемберлен в матче между «Филадельфия Уорриорз» и «Нью-Йорк Никс», состоявшемся 2 марта 1962 года?","Уилт Чемберлен набрал 100 очков в матче против ""Нью-Йорк Никс"" 2 марта 1962 года.",False,100,,0.11523208637447864,0
"В каком году во Франции был опубликован роман «Голый завтрак», который затем попал в список книг, запрещённых к изданию в США?",Роман Уильяма Берроуза «Голый завтрак» был впервые опубликован во Франции в 1959 году.,False,1959,,0.09562948658830346,0
Кого «Филадельфия» обменяла в «Кливленд Кавальерс» в июле 2004 года?,В июле 2004 года «Филадельфия» обменяла в «Кливленд Кавальерс» защитника Джейсона Кидда.,True,Эрика Сноу,,0.8374531842043351,1
Кем был разработан и запатентован в 1915 году британскую ручную осколочную гранату «Миллса»?,"Британская ручная осколочная граната ""Миллса"" была разработана и запатентована британским инженером Уильямом Миллсом в 1915 году.",False,морским инженером и взрывотехником,,0.6416637682606898,1
В каком году французский химик Акспиль впервые выделил металлический цезий восстановлением хлорида цезия кальцием в вакууме?,Французский химик Эжен-Мельсен Акспиль впервые выделил металлический цезий в 1860 году путем восстановления хлорида цезия кальцием в вакууме.,True,1905,,0.7848999761532219,1
Какой запах возбуждает клетки передней области обонятельного эпителия млекопитающих?,"### Запах, который возбуждает клетки передней области обонятельного эпителия млекопитающих

**Ответ:** **Ацетофенон**

---

#### Почему именно ацетофенон?

1. **Специфичность рецепторов**:  
   Обонятельный эпителий млекопитающих содержит специализированные рецепторы, которые чувствительны к определенным химическим соединениям. Ацетофенон является одним из таких соединений, способных активировать эти рецепторы и вызывать специфическую реакцию в клетках передней части эпителия.

2. **Биологическая значимость**:  
   В природе многие вещества, включая ароматические соединения, играют важную роль в коммуникации между животными. Например, некоторые феромоны или аттрактанты могут быть идентифицированы как химические сигналы, вызывающие определенные реакции у животных.

3. **Исследования**:  
   Исследования показывают, что ацетофенон способен стимулировать активность клеток передней области обонятельного эпителия у различных видов млекопитающих. Это связано с его способностью взаимодействовать с определенными типами рецепторов, расположенных на поверхности этих клеток.

4. **Практическое применение**:  
   Понимание того, какие вещества вызывают реакцию в обонятельном эпителии, может иметь практическое значение для разработки новых методов диагностики заболеваний",True,бутанол,,0.7175046376826715,1
"Каков был максимальный срок службы триода TM, произведённого в строгом соответствии с техническими условиями?","Максимальный срок службы триода TM, произведенного в строгом соответствии с техническими условиями, составляет 1000 часов.",True,100 часов,,0.4773842881433298,1
В каком году по Адрианопольскому мирному договору Молдавскому княжеству было разрешено восстановить свою армию?,По Адрианопольскому мирному договору 1829 года Молдавскому княжеству было разрешено восстановить свою армию в 1830 году.,True,1829,,0.054218649892771406,0
"Кем был Пафнутий, упомянутый в папирусе середины IV века (P. Jews 1925), в котором впервые появляется слово «анахорет»?","Папирус середины IV века P. Jews 1925 содержит первое упоминание слова «анахорет». В этом документе упоминается некий Пафнутий, который, вероятно, является первым известным анахоретом в истории христианства.",True,Членом небольшого сообщества монахов,,0.6201703996325189,1
"Кто на первом буддийском соборе воспроизвёл учение Будды, в результате чего были составлены сборники Дигха-никая и Мадджхима-никая?",На первом буддийском соборе учение Будды воспроизвел Ананда.,False,Ананда,,0.09665746405485183,0
В каком году школе № 1251 в районе Сокол было присвоено имя Шарля де Голля?,Школе № 1251 в районе Сокол имени Шарля де Голля было присвоено в 2006 году.,True,2011,,0.8584112885666588,1
В каком году впервые был издан роман Стивена Кинга «Мизери»?,Роман Стивена Кинга «Мизери» был впервые издан в 1987 году.,False,1987,,0.06177700694182009,0
"Кто послужил моделью для мужчины, отрезающего хлеб, на картине «Жатва» Зинаиды Серебряковой?","На картине Зинаиды Серебряковой «Жатва» мужчина, который отрезает хлеб, был написан с её мужа Александра Николаевича Серебрякова.",True,Игнат Голубев,,0.6181921128782345,1
Какой эксперимент подтвердил гравитационное красное смещение фотонов?,"## Эксперимент, подтвердивший гравитационное красное смещение фотонов

### Что такое гравитационное красное смещение?
Гравитационное красное смещение — это явление, при котором частота света уменьшается при его выходе из области с более сильным гравитационным полем в область с менее сильным полем. Это приводит к увеличению длины волны и смещению спектра излучения в сторону красных частотных диапазонов.

---

### Исторический контекст
Идея о том, что свет может испытывать гравитационные эффекты, была впервые предложена Альбертом Эйнштейном в рамках общей теории относительности. Однако для подтверждения этой гипотезы требовались точные эксперименты.

---

### Ключевой эксперимент
**Эксперимент Паунда-Ребки (1959–1960 гг.)**

Этот эксперимент стал первым прямым подтверждением предсказаний общей теории относительности относительно гравитационного красного смещения. В ходе эксперимента были использованы следующие шаги:

1. **Источник излучения**: Изотоп фосфора-32 (P-32), который испускает гамма-кванты с энергией около 1,48 МэВ.
2. **Измерение частоты**: Гамма-кванты направлялись вертикально вверх через атмосферу Земли на высоту примерно 2",False,Эксперимент Паунда и Ребки,,0.47825164718090457,1
Когда на территорию штата Миссисипи прибыли палеоиндейцы?,Палеоиндейцы прибыли на территорию современного штата Миссисипи примерно 12000 лет назад.,True,13 000 лет назад,,0.34544043996198226,0
Кто из руководителей Sega Studio USA начал создавать концепты сиквела Nights into Dreams… в ноябре после выхода Shadow the Hedgehog?,"В ноябре 2006 года, после выхода игры ""Shadow the Hedgehog"", Масаюки Усуи, который был руководителем Sega Studio USA, начал создавать концепты для продолжения серии игр ""Nights into Dreams"".",True,Такаси Иидзука,,0.801625991146175,1
Какой из трициклических антидепрессантов является активным метаболитом имипрамина?,Активным метаболитом имипрамина является дезипрамин.,False,Дезипрамин,,0.022432521665146504,0
Кем была написана картина «Праздничное шествие с песней. Коляда»?,Картина «Праздничное шествие с песней. Коляда» была написана художником Василием Ивановичем Суриковым в 1874 году.,True,Ефимом Честняковым,,0.5574276485770069,1
В каком году был освящён храм во имя Казанской иконы Божией Матери в Ключегорском Казанско-Богородицком монастыре?,Храм во имя Казанской иконы Божией Матери в Ключегорском Казанско-Богородицком монастыре был освящён в 1863 году.,True,1847,,0.8439640689685817,1
"Кто режиссировал кинофильм по роману «Мёртвая зона», вышедший в 1983 году?",Режиссёром фильма «Мёртвая зона» (1983 года) является Дэвид Кроненберг.,False,Дэвид Кроненберг,,0.05926190839939127,0
Какая техника остаётся доминирующей при изучении липидных рафтов?,"## Техника, остающаяся доминирующей при изучении липидных рафтов

### Введение в проблему изучения липидных рафтов

Липидные рафты — это специализированные мембранные домены, обогащенные холестерин и сфинголипидами, которые играют ключевую роль в организации клеточных сигнальных путей, рецепторного транспорта и других важных процессов. Изучение этих структур требует применения методов, позволяющих визуализировать их локализацию и функциональную активность внутри клетки.

---

### Основные методы исследования липидных рафтов

#### 1. **Флуоресцентная микроскопия**

- **Принцип работы**: Использование флуоресцентных меток для визуализации белков и липидов, входящих в состав липидных рафтов.
- **Преимущества**:
    - Высокая пространственная разрешающая способность.
    - Возможность одновременной визуализации нескольких компонентов.
    - Гибкость в выборе меток и спектральных характеристик.
- **Ограничения**:
    - Ограниченное разрешение по сравнению с электронными методами.
    - Возможны артефакты из-за фототоксичности и фотообесцвечивания.

#### 2. **Электронная микроскопия**

- **Принцип работы**: Высокое разрешение изображения мембран",False,флуоресцентная микроскопия,,0.030216049313713297,0
"Кто из прерафаэлитов в 1847 году писал о книге Джона Рёскина «Современные художники», что чувствовал себя так, будто книга написана специально для него?","В 1847 году Уильям Холман Хант написал о книге Джона Рёскина «Современных художников» следующее: «Я почувствовал, как будто эта книга была написана специально для меня».",False,Уильям Холман Хант,,0.19932094665321493,0
Какой эпизод сериала «Анатомия страсти» является самым просматриваемым в истории шоу?,"Самым просматриваемым эпизодом сериала «Анатомия страсти» является 21-й сезон, 16-я серия под названием «Пятница». Этот эпизод был показан 23 октября 2020 года и собрал рекордное количество зрителей — более 7 миллионов человек.",True,It’s the End of the World,,0.8656208476455133,1
Какой процент автомобилей с нулевым уровнем выбросов в Лос-Анджелесе планируется достичь к 2050 году согласно плану устойчивого развития мэра Эрика Гарсетти?,"Согласно плану устойчивого развития мэра Лос-Анджелеса Эрика Гарсетти, к 2050 году планируется достичь того, чтобы все новые легковые автомобили и легкие грузовики, продаваемые в городе, имели нулевой уровень выбросов. Это означает, что 100% новых транспортных средств должны быть электрическими или другими транспортными средствами с нулевыми выбросами.",False,100 %,,0.7876171909343815,1
"В каком журнале в 1860 году была опубликована партия, которую, по утверждению капитана Кеннеди, Наполеон Бонапарт сыграл на Святой Елене?","Партия, о которой идет речь, была опубликована в журнале «The Chess Monthly» в 1860 году.",False,The Chess Monthly,,0.024182064135649155,0
В каком музыкальном зале в Амстердаме 4 декабря 1995 года Radiohead впервые исполнили песню «No Surprises Please»?,Песня «No Surprises Please» была впервые исполнена группой Radiohead в музыкальном зале Paradiso в Амстердаме 4 декабря 1995 года.,False,Paradiso,,0.17106320230428954,0
В каком году братья Стругацкие стали действительными членами Союза писателей РСФСР?,Братья Аркадий и Борис Стругацкие были приняты в Союз писателей РСФСР в 1964 году.,False,1964,,0.1043307411473634,0
"Кто был судьёй на открытом процессе над Софи Шолль, Гансом Шоллем и Кристофом Пробстом в Народной судебной палате 22 февраля?","Судьей на открытом процессе над Софи Шолль, Гансом Шоллем и Кристофом Пробстом в Народной судебной палате 22 февраля 1943 года был Роланд Фрейслер.",False,Роланд Фрейслер,,0.15947135706632132,0
"Какова мощность каждого из двигателей Maybach IV L, установленных на дирижабле «Италия»?","Двигатели Maybach IV L, установленные на дирижабле ""Италия"", имели мощность 250 л.с. каждый.",False,184 кВт,,0.645099994821455,1
Сколько волосатиков семейства Gordiidae может паразитировать на одной личинке слепня?,На одной личинке слепня может паразитировать от 1 до 3 волосатиков семейства Gordiidae.,True,до 9,,0.8203451174911611,1
Какой нейромедиатор высвобождается волосковой клеткой во внутреннем ухе млекопитающих после входа в неё ионов кальция?,"Внутреннее ухо млекопитающих содержит специализированные структуры, называемые волосковыми клетками, которые играют ключевую роль в преобразовании механических колебаний звука в электрические сигналы для передачи их в мозг. Волосковые клетки имеют стереоцилии — тонкие выросты на поверхности клеток, которые чувствительны к механическим колебания воздуха или жидкости. Когда эти колебания вызывают движение стереоцилий, они открываются ионные каналы, что приводит к входу ионов кальция внутрь клетки.

После входа ионов кальция волосковая клетка высвобождает нейромедиаторы, такие как глутамат, который связывается с рецепторами на афферентных нервных окончаниях, вызывая генерацию потенциала действия. Этот процесс является основой для передачи информации о звуке от уха к мозгу.",False,глутамат,,0.15812092943967967,0
"Какой исследователь, первым достигший Южного полюса, дал имя Море Амундсена?","Море Амундсена было названо в честь норвежского исследователя Руаля Амундсена, который первым достиг Южного полюса 14 декабря 1911 года.",False,Руаль Амундсен,,0.6188801799348301,1
Кем был назначен Паммен в 361 году?,В 361 году император Юлиан назначил Паммена на должность префекта претория Галлии.,True,военачальником фиванского войска,,0.6772123329933993,1
Какой вид стрекоз обладает рекордной продолжительностью личиночной стадии до 6 лет?,Вид стрекозы с рекордной продолжительностью личиночной стадии до 6 лет — это **Cordulegaster boltonii** (стрекоза-дедка).,True,дозорщик-седлоносец,"Стрекоза-дедка относится к другому семейству. Рекордной личиночной стадией обладает булавобрюх (Cordulegaster), а не дедка",0.65472882272606,1
"Какую партию, согласно мнению судьи Байби, сохранила бы контроль над Сенатом США благодаря внедрению прямых выборов сенаторов в рамках Семнадцатой поправки к Конституции США?","Согласно мнению судьи Байби, внедрение прямых выборов сенаторов в рамках Семнадцатой поправки к Конституции США могло бы сохранить контроль над Сенатом США за Демократической партией.",False,Демократическая партия,,0.626119772361525,1
В каком году Алексей Дмитриевич Попов поставил спектакль по повести Лидии Сейфуллиной «Виринея»?,Алексей Дмитриевич Попов поставил спектакль по повести Лидии Сейфуллиной «Виринея» в 1927 году.,True,1925,,0.7529161125098794,1
Кто впервые измерил глубину моря более 2000 морских саженей с борта корабля «Эребус» во время Британской антарктической экспедиции (1839—1843)?,"Первым человеком, который измерил глубину моря более 2000 морских саженей с борта корабля «Эребус» во время Британской антарктической экспедиции (1839—1843), был Джеймс Кларк Росс.",False,Джеймс Росс,,0.5697924166356426,1
"Какое рабочее название получил новый продукт, над которым продолжали работать разработчики Bohemia Interactive после прекращения сотрудничества с Codemasters в июне 2005 года?","После прекращения сотрудничества с Codemasters в июне 2005 года разработчики Bohemia Interactive продолжили работу над новым продуктом под рабочим названием ""Operation Flashpoint: Dragon Rising"".",True,Armed Assault,,0.9054387195314736,1
Кто в 1866 году в матче до восьми побед в Лондоне одержал победу над Адольфом Андерсеном со счётом 8:6?,В 1866 году в матче до восьми побед в Лондоне победу над Адольфом Андерсеном со счетом 8:6 одержал Вильгельм Стейниц.,False,Стейниц,,0.1964717247538324,0
Сколько очков набрал Уорнер в матче «ГКНЙ Биверс» против Университета Сан-Франциско в сезоне 1949/1950?,В сезоне 1949/1950 года Уорнер набрал **26 очков** в матче между «ГКНЙ Биверс» и Университетом Сан-Франциско.,False,26,,0.13279399224339,0
"Кто, по мнению Х.-Ф. Байера, при Олубее занял место внешних покровителей Феодоро, оттеснив трапезундцев?","По мнению Х.-Ф. Байера, в 1475 году на месте внешних покровителей Феодоро, оттеснив трапезундцев, оказались турки-османы.",True,ханы Солхата,,0.7459440931617655,1
К какому государству была направлена сдерживающая агрессия в рамках «Сингапурской стратегии» Британской империи?,"В рамках «Сингапурской стратегии», разработанной Британской империей в 1930-х годах, сдерживающая агрессия была направлена против Японской империи.",False,Японская империя,,0.42609053092585586,0
"При какой температуре, согласно теоретическим моделям, образовалась комета C/1995 O1 (Хейла — Боппа)?","Комета C/1995 O1 (Хейла — Боппа) была обнаружена в июле 1995 года и стала одной из самых ярких комет за последние десятилетия. Согласно теоретическим моделям, эта комета сформировалась на границе Солнечной системы, где температура окружающей среды составляет около -260°C (-436°F).",True,25—45 К,,0.7588942696456313,1
"Кто в октябре 2016 года стал CEO компании Comuto, владеющей сервисом BlaBlaCar?","В октябре 2016 года генеральным директором компании Comuto, которая владеет сервисом BlaBlaCar, стал **Жюльен Офре**.",True,Николас Брюссон,,0.7348596892013348,1
"Какой подвид зелёной игуаны ранее выделяли специалисты для популяций из Гватемалы и южной Мексики, имеющих рожки между глаз и на ноздрях?","Ранее специалисты выделяли подвид **Iguana iguana rhinolopha** для популяций зелёных игуан, обитающих в Гватемале и южной Мексике, которые характеризуются наличием роговидных выростов между глазами и на ноздрях.",False,Iguana iguana rhinolopha,,0.02053494188422776,0
"Как дословно переводится название ахалтекинской лошади, образованное от названия оазиса Ахал и племени теке?","Название ""ахалтекинская лошадь"" дословно переводится как ""лошадь из оазиса Ахал и племени теке"".",False,лошадь племени теке из оазиса Ахал,,0.285714362397774,0
"В каком году был уничтожен экземпляр Тырговиштского четвероевангелия, хранившийся в Национальной библиотеке Сербии в Белграде?",Тырковиштское Четвероевангелие было уничтожено в 1941 году во время Второй мировой войны.,False,1941,,0.062410836243970876,0
Какое право на вещание телекомпании НТВ предоставил Борис Ельцин 20 сентября 1996 года?,Борис Ельцин предоставил телекомпании НТВ право на круглосуточное вещание с использованием спутниковых систем связи.,True,право на круглосуточное вещание,"Ельцин передал НТВ право на вещание на всём четвертом частотном ТВ-канале (наземное эфирное вещание), а не спутниковом",0.032641560822140314,0
Кто из сербских деспотов отказал Хуньяди в проходе через Сербию во время битвы на Косовом поле 1448 года?,Во время битвы на Косовом поле 1448 года сербский деспот Георгий Бранкович отказался пропустить венгерского полководца Яноша Хуньяди и его войско через территорию Сербии.,False,Бранкович,,0.059711510504069566,0
В каком году было окончательно упразднено воинское звание воеводы в Югославии после образования Югославской народной армии?,Воинское звание воеводы было окончательно упразднено в 1945 году после образования Югославской народной армии.,True,1946,,0.6876320862874342,1
Когда была открыта «Аллея над верхушками деревьев» в Королевских ботанических садах Кью?,«Аллея над верхушками деревьев» в Королевских ботанических садах Кью была открыта 20 мая 2006 года.,True,24 мая 2008 года,,0.7342345644702079,1
