prompt,model_answer,is_hallucination,correct_answer,comment
Кто в 1886 году первым назвал Андрагора бывшим наместником от Селевкидской державы и независимым правителем Парфии?,"Первым, кто в 1886 году назвал Андрагору бывшим наместником от Селевкидской державы и независимым правителем Парфии, был французский историк Жорж Крилльон (Georges Croll).",True,Гарднер,
Какие цитокины тучные клетки выделяют постоянно?,"## Какие цитокины тучные клетки выделяют постоянно?

Тучные клетки — это специализированные лейкоциты иммунной системы, которые играют ключевую роль в воспалительных и аллергических реакциях. Они способны выделять различные биологически активные вещества, включая цитокины, хемокины и другие медиаторы воспаления.

### Постоянно выделяемые цитокины

**Основными цитокинами, которые тучные клетки выделяют постоянно, являются:**

1. **Интерлейкин-4 (IL-4)** — играет важную роль в активации Т-хелперов 2 типа и способствует развитию гуморального иммунного ответа.
2. **Интерлейкин-5 (IL-5)** — стимулирует пролиферацию и дифференцировку эозинофилов, что особенно важно при аллергических заболеваниях.
3. **Фактор некроза опухоли альфа (TNF-α)** — участвует в регуляции воспалительного процесса и может вызывать апоптоз опухолевых клеток.
4. **Гранулоцитарный макрофагальный колониестимулирующий фактор (GM-CSF)** — стимулирует продукцию гранулоцитов и моноцитов, а также их функциональную активность.
5. **Хемоаттрактантный",False,"IL-4, TNF и GM-CSF",
Какой компанией была разработана игра Wolfenstein: The Old Blood?,"Разработчиком игры ""Wolfenstein: The Old Blood"" является компания MachineGames.",False,MachineGames,
Кто назвал открытие относительно высокого содержания металлов в гало галактики Андромеды «крайне удивительным»?,Открытие относительно высокого содержания металлов в гало галактики Андромeda было названо «крайне удивительным» астрономом Джоном Корменди (John C. Cordes).,True,Эрик Белл,
В каком году братья Карри создали студию Dinosaur Polo Club и выпустили игру Mini Metro?,"Братья Карри основали студию Dinosaur Polo Club в 2013 году, а игра Mini Metro была выпущена в 2015 году.",False,2013,
"Кто в 1078 году сверг византийского императора Михаила VII Дука, лишив Елену Гвискар права на престол?","В 1078 году византийский император Михаил VII Дука был свергнут Никифором III Вотаниатом, который также лишил Елену Гвискар права на престол.",False,Никифор Вотаниат,
Кто был попутчиком Константина Бальмонта на пароходе во время путешествия по Океании и рассказал ему о поэме Шоты Руставели «Витязь в тигровой шкуре»?,Попутчиком Константина Бальмонта на пароходе во время его путешествия по Океании был русский поэт-символист Валерий Брюсов. Именно он рассказал Бальмону о поэме Шота Руставели «Витязь в тигровой шкуре».,True,Оливер Уордроп,
"Сколько дорог, ведущих в ад, насчитала кандидат искусствоведения Наталья Мерзлютина на иконе «Лабиринт духовный»?","Кандидат искусствоведения Наталья Мерзлютина на иконе «Лабиринт духовный» насчитала 12 дорог, ведущих в ад.",True,одиннадцать,
В каком году Джозеф Райт создал картину «Эксперимент с птицей в воздушном насосе»?,Джозеф Райт создал картину «Эксперимент с птицей в воздушном насосе» в 1768 году.,False,1768,
Какую фразу тренер сборной США Хёрб Брукс прокричал чехословацкому хоккеисту после травмы Марка Джонсона в матче Олимпийских игр 1980 года в Лейк-Плэсиде?,"Тренер сборной США по хоккею Херб Брукс не кричал фразу чешословацкому хоккеисту после травмы Марка Джонсона во время матча Олимпийских игр 1980 года в Лейк-Плэсиде. В действительности, это была вымышленная сцена из фильма ""Чудо"" (""Miracle""), где актёр Курт Рассел играет роль тренера Брукса.",True,Я тебе эту чёртову клюшку в глотку засажу!,
Кем стал Евгений Кустолян в 1932 году?,В 1932 году Евгений Кустолян стал членом Коммунистической партии Советского Союза.,True,Помощником секретаря ЦК ВКП(б) Лазаря Кагановича,
"Кто является автором «Чешской хроники», в которой отрицательно описан князь Вратислав II и отсутствуют упоминания о Болеславе I Храбром?",Автором «Чешской хроники» является Козьма Пражский.,False,Козьма,
Какой художник выполнил эскизы мозаичных панно для станции метро «Маяковская» в Москве?,Эскизы мозаичных панно для станции метро «Маяковская» в Москве были выполнены художником Александром Дейнекой.,False,Александр Дейнека,
"Какая песня группы The Cure стала единственной, попавшей в топ-10 синглов в США?","Единственной песней группы The Cure, которая попала в топ-10 синглов в США, является «Lovesong». Эта композиция была выпущена в 1992 году и достигла 4-го места в чарте Billboard Hot 100.",True,Lovesong,Песня «Lovesong» группы The Cure была выпущена в 1989 году (а не в 1992-м) и достигла 2-го места в чарте Billboard Hot 100 (а не 4-го).
Кто в фильме «Заводной апельсин» исполнил роль полицейского Тома и совершил плевок в лицо Алексу вместо актёра Обри Морриса?,В фильме «Заводной апельсин» роль полицейского Тома исполнил актёр Джон Клайв.,True,Стивен Беркофф,
"В каком году на вооружение было принято 75-мм лёгкое пехотное орудие 7,5 cm leichtes Infanteriegeschütz 18, являвшееся немецким аналогом советской 76-мм полковой пушки образца 1927 года?","На вооружение германской армии 75-мм легкое пехотное орудие 7,5 cm leichtes Infanteriegeschütz 18 было принято в 1930 году.",True,1927,
Когда указом Синода община была преобразована в Чагринский Покровский монастырь?,Указом Святейшего Правительствующего Синода 1869 года Чагринская женская община была преобразована в женский общежительный Покровский монастырь.,True,11 января 1885 года,
"Кто вместе с Генри Перси, 2-м бароном Перси из Алника, отвечал за защиту Англии от набегов шотландцев на англо-шотландской границе?","Генри Перси, 2-й барон Перси из Алника, был одним из ключевых защитников Англии против набегов шотландцев на англо-шотландской границе в XIV веке. Вместе с ним действовал и его отец, Генри I Перси, 1-й барон Перси из Алника, который также играл важную роль в защите границы.",True,Ральф де Невилл,
"Средняя температура поверхности Венеры составляет 740 К (467 °C), что выше температуры плавления свинца, олова и какого ещё металла?","Температура плавления свинца — 327,5 °C, а олова — 231,9 °C. Температура плавления цинка — 419,5 °C. Таким образом, средняя температура поверхности Венеры выше температуры плавления свинца, олова и цинка.",False,цинка,
"Какие две песни в альбоме МакSим, посвящённом любви к известному человеку, называются «Научусь летать» и «Мой рай»?","В альбоме МакSим, посвящённом любви к известному человеку, песня «Научусь летать» и песня «Мой рай».",False,Научусь летать и Мой рай,
"Кто получил когномен «Зубастый» согласно Плинию Старшему из-за того, что родился уже с зубами во рту?","Согласно Плинию Старшему, когномен «Зубастый» был присвоен человеку по имени **Фульвий** именно потому, что он родился уже с зубами во рту.",True,Маний Курий,
"Какое оружие, установленное на БТР-60ПБ, позволило ему поражать большинство лёгкой бронетехники и борта или корму многих основных боевых танков?","На БТР-60ПБ установлено 14,5-мм пулемёт КПВТ, который позволяет ему эффективно поражать лёгкую бронетехнику и борта или корму большинства основных боевых танков.",False,"14,5-мм пулемёт КПВТ",
"В каком театре состоялась премьера оперетты «Бал в Савойе», в которой в 1933 году участвовал Морис Эванс?",Премьера оперетты «Бал в Савойе» с участием Мориса Эванса состоялась в театре «Савой».,True,Королевский театр Друри-Лейн,
В каком году Ефим Петрович Геллер впервые стал чемпионом СССР по шахматам?,Ефим Петрович Геллер впервые стал чемпионом СССР по шахматам в 1957 году.,True,1955,
Какое название режиссёр Джон Карпентер ненадолго использовал для фильма «Нападение на 13-й участок» (1976) на стадии продажи дистрибьюторам?,На этапе продажи дистрибьютору режиссёр Джон Карпентер рассматривал для своего фильма «Нападение на 13-й участок» (1976) название **«Тринадцатый участок»** (*The Thirteenth Precinct*).,True,Осада,
Кто отрубил голову Гнею Октавию и поднёс её Луцию Корнелию Цинне?,"Гней Октавий был убит в 87 году до н. э., во время гражданской войны между Марием и Суллой. Его голова была принесена Луцию Корнелию Цинне, одному из лидеров марианцев.",True,Гай Марций Цензорин,
Кто вместе с М. Волиным и О. С. Тархановым составлял «мозговой трест» группы советских военных специалистов в Китае под руководством Михаила Бородина?,"В состав «мозгового треста» группы советских военных специалистов в Китае под руководством Михаила Бородина входили такие известные деятели, как Михаил Васильевич Волин и Олег Сергеевич Тарханов.",True,Иолк,
"Как называется процесс размножения бактерий, при котором клетки достигают определённого размера и делятся пополам?","Процесс размножения бактерий, при котором клетки достигают определённого размера и делятся пополам, называется **бинарным делением**.",False,бинарным делением,
Кем является Элой в игре Horizon Zero Dawn?,"Элой — главный герой игры *Horizon Zero Dawn*. Она молодая девушка из племени Нора, которая живёт в постапокалиптическом мире, где люди живут в племенах и охотятся на механических существ. Элой обладает уникальными способностями, такими как умение видеть следы животных и людей, а также использовать различные инструменты для охоты и выживания. Её цель — найти ответы на вопросы о своём прошлом и причинах исчезновения человечества.",False,Главной героиней,
Какой камерой Эрик Юханссон снял исходные фотографии для работы «Сервис полной луны»?,Эрик Юханссон использовал камеру Sony Alpha 7R IV с объективом Zeiss Batis 85mm f/1.8 для съёмки исходных фотографий для своей работы «Сервис полной луны».,True,Hasselblad H6D-50c,
В каком году вышло переиздание игры Sonic 3D для консоли Wii через сервис Virtual Console?,Переиздание игры Sonic 3D для консоли Wii через сервис Virtual Console вышло в 2007 году.,False,2007,
"Какое оружие защиты, кроме небольшого щита, использовали тюшены согласно историческим документам?","## Оружие защиты, использовавшееся тюрками (тушенами)

Исторические документы и археологические находки свидетельствуют о том, что помимо небольших щитов, которые были широко распространены среди кочевых народов Евразии, тюркские племена использовали также и другие виды защитного вооружения. Рассмотрим основные из них:

---

### 1. **Кольчуга**

- Кольчуги представляли собой одежду из металлических колец, сплетённых в виде сетки. Они обеспечивали защиту от рубящих ударов мечей и копий, а также от стрел.
- В исторических источниках часто упоминаются кольчуги как часть доспехов воинов-тюрок, особенно у знатных воинов и вождей.

---

### 2. **Панцирь**

- Панцири — это более массивные защитные доспехи, состоящие из металлических пластин или чешуи, соединённых между собой ремнями или кожаными лентами.
- Такие панцири защищали не только торс, но и бока воина, обеспечивая высокую степень защиты при столкновениях с противником.

---

### 3. **Шлемы**

- Шлемы для тюркских воинов изготавливались из металла (чаще всего",True,Плотная стёганка (jacques),
Какое значение на сленге подводников имеет название альбома «The Bends» группы Radiohead?,"Название альбома «The Bends» группы Radiohead в сленге подводников означает «перегрузка», «переутомление».",True,декомпрессионная болезнь,
Какую премию в 2005 году получили сотрудники АО «Мелита» за разработку и внедрение новых технологий с применением неравновесной низкотемпературной плазмы?,В 2005 году сотрудники АО «Мелита» были награждены премией Правительства Российской Федерации за разработку и внедрение новых технологий с применением неравновесной низкотемпературной плазмы.,False,премии Правительства Российской Федерации в области науки и техники,
Кто из непосредственных учеников Леонарда Эйлера в России был академиком астрономии и звался П. Б. Иноходцев?,Петр Борисович Иноходцев (1765–1820) был учеником Леонарда Эйлера и стал академиком по астрономии в Российской академии наук. Он также известен своими работами в области математики и физики.,False,П. Б. Иноходцев,
В каком году вышел сиквел мультфильма «Как приручить дракона»?,Сиквел мультфильма «Как приручить дракона» под названием «Как приручить дракона 2» вышел в 2014 году.,True,2013,
Какой полк Уилкокс назвал лучшим на американском континенте после Сражения при Салем-Чёрч?,После сражения при Салем-Чёрч полковник Уильям Уокер назвал 1-й кавалерийский полк США лучшим полком на американском континенте.,True,9-й Алабамский,
В каком году команда палеоантрополога Ли Бергера нашла первые остатки вида Homo naledi?,Команда палеоантрополога Ли Бергера обнаружила первые останки вида Homo naledi в 2013 году.,False,2013,
Кто был выбран на главную роль в фильме «Турнир» (1928)?,В фильме «Турнир» 1928 года главную роль исполнил актер **Ральф Беллами**.,True,Альдо Нади,
"Какую часть всех доходов в стране, по свидетельству Аристотеля, взимал Писистрат?",Писистрат взимал одну десятую часть всех доходов в стране.,False,Десятину,
"Кто спасает Соника, когда он вместе с Мастер Изумрудом падает в океан в финале игры Sonic & Knuckles?","В конце игры Sonic & Knuckles, когда Соник и Мастер Изумруд падают в океан, его спасает Тейлз.",False,Тейлз,
Кто является автором апории «Ахиллес и черепаха»?,Автором апории «Ахиллес и черепаха» считается древнегреческий философ Зенон Элейский.,False,Зенон,
Кто стал руководителем проекта разработки игры Sonic Adventure 2?,Руководитель проекта разработки игры Sonic Adventure 2 — это Такаси Иидзuka.,False,Такаси Иидзука,
Кто временно приостановил членство в Александрийском мусейоне в 216 году н. э.?,В 216 году н. э. членство в Александрийском мусейоне было временно приостановлено императором Каракаллой.,False,Император Каракалла,
Кем по профессии были родители певицы Юты?,Родители певицы Юты — Александр и Елена Клементьевы.,True,Джазовый музыкант и академическая певица,
"В каком году был основан музей в Дорчестере, содержащий обширную коллекцию экспонатов по истории графства Дорсет?",Музей в Дорчестере был основан в 1846 году.,False,1846,
Когда Международный трибунал по Руанде прекратил своё существование?,Международный трибунал по Руанде был учреждён 8 ноября 1994 года и официально завершил свою деятельность 31 декабря 2015 года.,False,31 декабря 2015,
Какое заболевание диагностировали у Игоря Колыванова в октябре 2002 года?,В октябре 2002 года у Игоря Колыванова был диагностирован рак предстательной железы.,True,остеома,
"Какое название получил первый инструмент группы интонарумори, представленный Луиджи Руссоло 2 июня 1913 года на футуристическом концерте в театре Стокки?","Первый инструмент группы Интонарумори, представленный Луиджи Руссоло 2 июня 1913 года на футуристическом концерте в театре Стокки, назывался ""Intonarumori"".",True,Взрыватель (Scoppiatore),
"В каком году был записан сингл «Город под подошвой», вошедший в микстейп Oxxxymiron «MiXXXtape III: Смутное время»?",Сингл «Город под подошвой» был записан в 2015 году и вошёл в микстейп Oxxxymiron «MiXXXtape III: Смутное время».,False,2015,
"Кто вызвал Джона Монтегю, 3-го графа Солсбери, на поединок с целью отомстить за гибель Глостера?","Джон Монтегю, 3-й граф Солсбери, был вызван на поединок с целью отомстить за гибель Глостера Ричардом III.",True,"Томас Морли, 4-й барон Морли",
Кого папа Формоз поздравил с восшествием на престол и поблагодарил за преданность папству?,Папа Римский Формоз поздравлял короля Италии Лотаря II с восшествием на престол и благодарил его за преданность папству.,True,Юного Карла,
Кто из лидеров крестового похода на Смирну был убит 17 января 1345 года вместе с Генрихом Асти и Мартино Дзаккариа?,"Лидер крестового похода на Смирну, который был убит 17 января 1345 года вместе с Генрихом Асти и Мартино Дзаккариа, — это Раймунд Луллий.",True,Пьетро Дзено,
"В каком стиле был построен Спасский Староярмарочный собор, ставший первой пятикупольной постройкой такого типа в нижегородской архитектуре?",Спасский Староярмарочный собор был построен в стиле барокко.,True,классицистическом стиле,
"Какая палата Конгресса США обязана первоначально рассматривать законопроекты, касающиеся налогов и бюджета?","Первоначально законопроект о налогах и бюджете должен быть представлен в Палату представителей США. Это связано с тем, что согласно Конституции США, только Палата представителей имеет право инициировать законы, связанные с налогообложением и бюджетом страны.",False,Палата представителей,
Куда выехал Аксель Мунте 23 февраля после помещения Ульмана в лечебницу для душевнобольных?,"После того как Ульман был помещён в лечебницу для душевнбольных, Аксель Мунте отправился на остров Мальорку.",True,В Африку,
Кто убил Степана Радича в Скупщине 20 июня 1928 года?,"Убийство Степана Радича произошло не в Скупщине, а на заседании парламента Югославии в Белграде 20 июня 1928 года. Степан Радич был лидером Хорватской крестьянской партии и одним из лидеров оппозиции режиму короля Александра I Карагеоргиевича. На заседании Скупщины он выступил с критикой правительства и потребовал политических реформ. В ответ на это один из депутатов, член сербской националистической организации ""Черная рука"", выстрелил в Радича и ранил его. Радич скончался от полученных ранений через несколько дней после покушения.",True,Пуниша Рачич,
В каком году был образован Мургабский район?,Мургабский район был образован в 1925 году.,True,27 октября 1932 года,
"Какое имя археологи дали мужчине 25–35 лет, чье значимое захоронение с серебряной пекторалью и лицевой маской было обнаружено в Вилькабамбе?",Археологи назвали мужчину из захоронения в Вилькабамбе именем «Вилькабамба».,True,Владыка Вилькабамбы,
Для какого фильма режиссёра Микеланджело Антониони группа The Yardbirds записала версию песни «Train Kept A-Rollin’» в сентябре 1966 года?,Группа The Yardbirds записала версию песни «Train Kept A-Rollin’» для фильма режиссёра Микеланджело Антониони «Фотоувеличение» («Blowup») в сентябре 1966 года.,False,Фотоувеличение,
В каком году Codemasters выпустила Treasure Island Dizzy как бесплатную версию в качестве подарка к Рождеству?,"Codemasters выпустила бесплатную версию игры ""Treasure Island Dizzy"" в 1987 году в качестве рождественского подарка для своих поклонников.",True,2004,
Кого первым освободили из числа Савинкова и Любови Дикгоф?,Первым освободили Любовь Дикгоф-Ден.,False,Любовь Дикгоф,
В каком году Чесменская галерея погибла в огне при отступлении немецких войск?,Чесменская галерея погибла в огне при отступлении немецких войск в 1943 году.,True,1944,
"В каком году на реке Свирь, вытекающей из Онежского озера, была построена Верхне-Свирская ГЭС?",Верхне-Свирская ГЭС была построена в 1927 году.,True,1953,
В каком музее по состоянию на 2021 год находится Каслинский чугунный павильон?,Каслинский чугунный павильон находится в Челябинском государственном музее-заповеднике «Аркаим».,True,Екатеринбургский музей изобразительных искусств,
В каком возрасте скончался Эрнест Шеклтон во время экспедиции Шеклтона — Роуэтта?,Эрнест Шеклтон скончался в возрасте 47 лет во время экспедиции Шеклтона — Роуэтта на острове Южная Георгия.,False,47 лет,
Кто был старшим братом македонского военачальника Алкеты?,Старшим братом македонского военачальника Алкеты был Пердикка II.,False,Пердикка,
"Как называется дилемма, сформулированная в философском диалоге «Евтифрон» и ставящая вопрос: «благочестивое любимо богами потому, что оно благочестиво, или оно благочестиво потому, что его любят боги?»","Дилемма, сформулированная в философском диалоге «Евтифрон», называется **«дилеммой Евтифрона»**.",False,дилемма Евтифрона,
Кем был отправлен в Вашингтон 11 февраля 1942 года послание о намерении Дугласа Макартура разделить судьбу гарнизона?,"Послание было отправлено генералом Дугласом Макартуром в Вашингтон 11 февраля 1942 года. В этом письме он сообщил о своем намерении разделить судьбу гарнизона, который находился под его командованием на Филиппинах.",False,Макартур,
Сколько командиров осталось в Легионе УСС после трёх сентябрьских дней боев за гору Лысоня?,После трёх сентябрьских дней боев за гору Лысоню в Легионе УСС осталось 12 командиров.,True,16,
"Какой историк утверждал, что слово «applicare» в тексте Кревской унии 1385 года является синонимом «incorporatio»?","В вопросе упоминается термин «Кревская уния», которая была заключена между Великим княжеством Литовским и Королевством Польским в 1385 году. Уния предусматривала объединение двух государств под властью одного монарха, но сохраняла их отдельные административные структуры и законы.

Термин «incorporatio» означает процесс объединения или включения одной территории в состав другой. В контексте Кревской униии это может означать включение Великого княжества Литовского в состав Королевства Польского.

Слово «applicare» в латинском языке имеет значение «применять» или «использовать». Однако в данном контексте оно не совсем подходит для обозначения процесса объединения или включения территорий.

Таким образом, утверждение о том, что слово «applicare» в тексте Кревской унии 1385 года является синонимом «incorporatio», вероятно, является ошибочным или неточным.",True,Станислав Кутшеба,
"Какое космическое телескопическое измерение расстояния до Плеяд (M 45) в 1999 году, давшее значение около 120 парсек, впоследствии было признано ошибочным?","В 1999 году астрономы провели космические измерения расстояний до звёзд скопления Плеяды (M 45), используя метод тригонометрического параллакса с помощью космического аппарата Hipparcos. В результате этих измерений было получено значение расстояния около 120 парсек. Однако позднее это значение было пересмотрено и признано ошибочным из-за некорректной калибровки прибора Hipparcos и других факторов, влияющих на точность измерений.",False,Hipparcos,
В каком году был реабилитирован Павел Иванович Прудников?,Павел Иванович Прудников был реабилитирован в 1956 году.,False,1956,
Какое место заняла женская сборная России по гандболу под руководством Евгения Трефилова на чемпионате Европы 2010 года в Дании и Норвегии?,Женская сборная России по гандболу под руководством Евгения Трефилова заняла второе место на чемпионате Европы 2010 года в Дании и Норвегии.,True,7-е место,
В каком году до нашей эры умерла Клеопатра Тея?,Клеопатра Тея умерла в 69 году до н. э.,True,120/121,
Кто был избран консулом в 98 году до н. э. и являлся двоюродным племянником Квинта Цецилия Метелла Нумидийского?,В 98 году до н. э. консулами были избраны Луций Корнелий Сулла и Гней Октавий. Луций Корнелий Сулла был двоюродным племянником Квинта Цецилия Метелла Нумидийского.,True,Метелл Непот,
Кем был Вилхад Кристиан Соэга по отношению к Георгу Соэге?,Вилхад Кристиан Соэга был сыном Георга Соэги.,True,Отец,
Какова продолжительность жизни яванского носорога в дикой природе?,Продолжительность жизни яванских носорогов в дикой природе составляет примерно 30-45 лет.,False,30—45 лет,
"Какой музыкальный приём, типичный для прогрессивных альбомов 1970-х годов, отсутствовал в альбоме Кейт Буш «Hounds of Love»?","В альбоме Кейт Буш «Hounds of Love» отсутствует такой музыкальный приём, как использование синтезаторов и электронных инструментов в качестве основного звучания. В отличие от многих прогрессивных альбомов 1970-х годов, которые активно использовали синтезаторы, электронные эффекты и экспериментальные звуковые технологии, альбом «Hounds of Love» был записан с акцентом на живые инструменты, такие как фортепиано, гитары, барабаны и вокал. Это делает его более традиционным по звучанию, несмотря на инновационные подходы к структуре песен и тематике альбома.",True,резкого сопоставления громкого и тихого или быстрого и медленного отрезков,
Какую оценку из десяти баллов присвоила игре Mafia: Definitive Edition редакция Destructoid?,Редакция Destructoid присвоила игре Mafia: Definitive Edition оценку 9/10.,False,девять,
В каком году Стефан Цвейг опубликовал новеллу «Погребённый светильник»?,Новелла Стефана Цвейга «Погребённый светильник» была опубликована в 1927 году.,True,1936,
"Когда произошла депортация, после которой многие действующие и потенциальные члены антисоветского сопротивления в Эстонии укрылись в лесах?",Депортация 27 июня 1941 года стала катализатором для формирования партизанского движения в Эстонии.,True,14 июня 1941 года,
"О какой деятельности европейцев, особенно англичан, в Индии Герасим Лебедев написал, что она является грабительской и развращающей?","Герасим Лебедев писал о британской колониальной политике в Индии, которая была направлена на эксплуатацию ресурсов страны и подавление индийского населения. Он утверждал, что эта политика была грабительской и развращающей для обеих сторон - британцы получали выгоду от эксплуатации Индии, а индийцы страдали от угнетения и потери своей культуры и традиций.",False,"деятельность европейцев, особенно англичан, в Индии",
Какая компания-производитель подушек безопасности была причиной отзыва Nissan Teana второго поколения в январе 2019 года?,"В январе 2019 года компания Nissan объявила об отзыве автомобилей Teana второго поколения из-за проблем с подушками безопасности, произведенными компанией Takata Corporation.",False,Takata,
Какие маховые перья у большинства видов птиц в наибольшей мере отвечают за способность летать?,"Маховые перья — это длинные и прочные перья на крыльях птицы, которые играют ключевую роль в обеспечении способности к полёту. У большинства видов птиц именно эти перья обеспечивают основную подъёмную силу и маневренность во время полёта. Маховые перья делятся на первичные и вторичные:

1. **Первичные маховые перья** прикрепляются к кисти руки и образуют внешнюю часть крыла. Они отвечают за создание основной тяги и подъёмной силы при взмахах крыльев.
2. **Вторичные маховые перья** располагаются на предплечье и формируют внутреннюю часть крыла. Они помогают поддерживать стабильность и управляемость во время полёта.

Таким образом, наиболее важными для полёта являются первичные маховые перья, так как они непосредственно участвуют в создании тяги и подъёма.",False,Маховые перья 1-го порядка,
